id,escenario,tiempo_servicio_mean,umbral_retraso,tasa_llegada_json,fecha_creacion
1,E1_base,89.86236726294638,50.200000000000045,"{""0.0"": 0.1366279069767441, ""1.0"": 0.1017441860465116, ""2.0"": 0.1133720930232558, ""3.0"": 0.125, ""4.0"": 0.125, ""5.0"": 0.0959302325581395, ""6.0"": 0.1046511627906976, ""7.0"": 0.0988372093023255, ""8.0"": 0.1453488372093023, ""9.0"": 0.127906976744186, ""10.0"": 0.1686046511627907, ""11.0"": 0.1220930232558139, ""12.0"": 0.1598837209302325, ""13.0"": 0.0930232558139534, ""14.0"": 0.125, ""15.0"": 0.1162790697674418, ""16.0"": 0.1162790697674418, ""17.0"": 0.1046511627906976, ""18.0"": 0.127906976744186, ""19.0"": 0.0988372093023255, ""20.0"": 0.1104651162790697, ""21.0"": 0.1337209302325581, ""22.0"": 0.1395348837209302, ""23.0"": 0.1162790697674418}",2026-05-05T09:30:18.878632
2,E2_menos_camiones,89.86236726294638,50.200000000000045,"{""0.0"": 0.1366279069767441, ""1.0"": 0.1017441860465116, ""2.0"": 0.1133720930232558, ""3.0"": 0.125, ""4.0"": 0.125, ""5.0"": 0.0959302325581395, ""6.0"": 0.1046511627906976, ""7.0"": 0.0988372093023255, ""8.0"": 0.1453488372093023, ""9.0"": 0.127906976744186, ""10.0"": 0.1686046511627907, ""11.0"": 0.1220930232558139, ""12.0"": 0.1598837209302325, ""13.0"": 0.0930232558139534, ""14.0"": 0.125, ""15.0"": 0.1162790697674418, ""16.0"": 0.1162790697674418, ""17.0"": 0.1046511627906976, ""18.0"": 0.127906976744186, ""19.0"": 0.0988372093023255, ""20.0"": 0.1104651162790697, ""21.0"": 0.1337209302325581, ""22.0"": 0.1395348837209302, ""23.0"": 0.1162790697674418}",2026-05-05T09:30:19.009377
3,E3_demanda_pico,89.86236726294638,50.200000000000045,"{""0.0"": 0.2732558139534882, ""1.0"": 0.2034883720930232, ""2.0"": 0.2267441860465116, ""3.0"": 0.25, ""4.0"": 0.25, ""5.0"": 0.191860465116279, ""6.0"": 0.2093023255813952, ""7.0"": 0.197674418604651, ""8.0"": 0.2906976744186046, ""9.0"": 0.255813953488372, ""10.0"": 0.3372093023255814, ""11.0"": 0.2441860465116278, ""12.0"": 0.319767441860465, ""13.0"": 0.1860465116279068, ""14.0"": 0.25, ""15.0"": 0.2325581395348836, ""16.0"": 0.2325581395348836, ""17.0"": 0.2093023255813952, ""18.0"": 0.255813953488372, ""19.0"": 0.197674418604651, ""20.0"": 0.2209302325581394, ""21.0"": 0.2674418604651162, ""22.0"": 0.2790697674418604, ""23.0"": 0.2325581395348836}",2026-05-05T09:30:19.121196
4,E4_estres,3600.0,50.200000000000045,"{""0"": 2.0, ""1"": 2.0, ""2"": 2.0, ""3"": 2.0, ""4"": 2.0, ""5"": 2.0, ""6"": 2.0, ""7"": 2.0, ""8"": 2.0, ""9"": 2.0, ""10"": 2.0, ""11"": 2.0, ""12"": 2.0, ""13"": 2.0, ""14"": 2.0, ""15"": 2.0, ""16"": 2.0, ""17"": 2.0, ""18"": 2.0, ""19"": 2.0, ""20"": 2.0, ""21"": 2.0, ""22"": 2.0, ""23"": 2.0}",2026-05-05T09:30:19.239981
5,E1_base,89.86236726294638,50.200000000000045,"{""0.0"": 0.1366279069767441, ""1.0"": 0.1017441860465116, ""2.0"": 0.1133720930232558, ""3.0"": 0.125, ""4.0"": 0.125, ""5.0"": 0.0959302325581395, ""6.0"": 0.1046511627906976, ""7.0"": 0.0988372093023255, ""8.0"": 0.1453488372093023, ""9.0"": 0.127906976744186, ""10.0"": 0.1686046511627907, ""11.0"": 0.1220930232558139, ""12.0"": 0.1598837209302325, ""13.0"": 0.0930232558139534, ""14.0"": 0.125, ""15.0"": 0.1162790697674418, ""16.0"": 0.1162790697674418, ""17.0"": 0.1046511627906976, ""18.0"": 0.127906976744186, ""19.0"": 0.0988372093023255, ""20.0"": 0.1104651162790697, ""21.0"": 0.1337209302325581, ""22.0"": 0.1395348837209302, ""23.0"": 0.1162790697674418}",2026-05-23T18:41:31.192272
6,E2_menos_camiones,89.86236726294638,50.200000000000045,"{""0.0"": 0.1366279069767441, ""1.0"": 0.1017441860465116, ""2.0"": 0.1133720930232558, ""3.0"": 0.125, ""4.0"": 0.125, ""5.0"": 0.0959302325581395, ""6.0"": 0.1046511627906976, ""7.0"": 0.0988372093023255, ""8.0"": 0.1453488372093023, ""9.0"": 0.127906976744186, ""10.0"": 0.1686046511627907, ""11.0"": 0.1220930232558139, ""12.0"": 0.1598837209302325, ""13.0"": 0.0930232558139534, ""14.0"": 0.125, ""15.0"": 0.1162790697674418, ""16.0"": 0.1162790697674418, ""17.0"": 0.1046511627906976, ""18.0"": 0.127906976744186, ""19.0"": 0.0988372093023255, ""20.0"": 0.1104651162790697, ""21.0"": 0.1337209302325581, ""22.0"": 0.1395348837209302, ""23.0"": 0.1162790697674418}",2026-05-23T18:41:31.302335
7,E3_demanda_pico,89.86236726294638,50.200000000000045,"{""0.0"": 0.2732558139534882, ""1.0"": 0.2034883720930232, ""2.0"": 0.2267441860465116, ""3.0"": 0.25, ""4.0"": 0.25, ""5.0"": 0.191860465116279, ""6.0"": 0.2093023255813952, ""7.0"": 0.197674418604651, ""8.0"": 0.2906976744186046, ""9.0"": 0.255813953488372, ""10.0"": 0.3372093023255814, ""11.0"": 0.2441860465116278, ""12.0"": 0.319767441860465, ""13.0"": 0.1860465116279068, ""14.0"": 0.25, ""15.0"": 0.2325581395348836, ""16.0"": 0.2325581395348836, ""17.0"": 0.2093023255813952, ""18.0"": 0.255813953488372, ""19.0"": 0.197674418604651, ""20.0"": 0.2209302325581394, ""21.0"": 0.2674418604651162, ""22.0"": 0.2790697674418604, ""23.0"": 0.2325581395348836}",2026-05-23T18:41:31.410436
8,E4_estres,3600.0,50.200000000000045,"{""0"": 2.0, ""1"": 2.0, ""2"": 2.0, ""3"": 2.0, ""4"": 2.0, ""5"": 2.0, ""6"": 2.0, ""7"": 2.0, ""8"": 2.0, ""9"": 2.0, ""10"": 2.0, ""11"": 2.0, ""12"": 2.0, ""13"": 2.0, ""14"": 2.0, ""15"": 2.0, ""16"": 2.0, ""17"": 2.0, ""18"": 2.0, ""19"": 2.0, ""20"": 2.0, ""21"": 2.0, ""22"": 2.0, ""23"": 2.0}",2026-05-23T18:41:31.506869
9,E1_base_x50,89.86236726294638,50.200000000000045,"{""0.0"": 6.831395348837205, ""1.0"": 5.08720930232558, ""2.0"": 5.66860465116279, ""3.0"": 6.25, ""4.0"": 6.25, ""5.0"": 4.796511627906975, ""6.0"": 5.23255813953488, ""7.0"": 4.9418604651162745, ""8.0"": 7.267441860465115, ""9.0"": 6.3953488372092995, ""10.0"": 8.430232558139535, ""11.0"": 6.104651162790695, ""12.0"": 7.994186046511626, ""13.0"": 4.65116279069767, ""14.0"": 6.25, ""15.0"": 5.81395348837209, ""16.0"": 5.81395348837209, ""17.0"": 5.23255813953488, ""18.0"": 6.3953488372092995, ""19.0"": 4.9418604651162745, ""20.0"": 5.523255813953485, ""21.0"": 6.686046511627905, ""22.0"": 6.97674418604651, ""23.0"": 5.81395348837209}",2026-05-23T19:12:37.007279
10,E2_menos_camiones_x50,89.86236726294638,50.200000000000045,"{""0.0"": 6.831395348837205, ""1.0"": 5.08720930232558, ""2.0"": 5.66860465116279, ""3.0"": 6.25, ""4.0"": 6.25, ""5.0"": 4.796511627906975, ""6.0"": 5.23255813953488, ""7.0"": 4.9418604651162745, ""8.0"": 7.267441860465115, ""9.0"": 6.3953488372092995, ""10.0"": 8.430232558139535, ""11.0"": 6.104651162790695, ""12.0"": 7.994186046511626, ""13.0"": 4.65116279069767, ""14.0"": 6.25, ""15.0"": 5.81395348837209, ""16.0"": 5.81395348837209, ""17.0"": 5.23255813953488, ""18.0"": 6.3953488372092995, ""19.0"": 4.9418604651162745, ""20.0"": 5.523255813953485, ""21.0"": 6.686046511627905, ""22.0"": 6.97674418604651, ""23.0"": 5.81395348837209}",2026-05-23T19:12:37.379957
