,Wq_mean,Wq_mean,Wq_mean,P_delay,P_delay,utilizacion,utilizacion,num_fallos,costo_total
,mean,std,count,mean,std,mean,std,mean,mean
escenario,,,,,,,,,
E1_base,0.0,0.0,60,0.9,0.0608,0.0936,0.0066,4.75,42873.3333
E1_base_x50,0.0,0.0,90,0.4864,0.307,0.1022,0.0003,236.2111,100213333.3333
E2_menos_camiones,0.0,0.0,60,0.9139,0.0608,0.1185,0.0069,4.5,34447.5
E2_menos_camiones_x50,0.0,0.0,90,0.485,0.3072,0.2043,0.0005,235.4556,62399444.4444
E3_demanda_pico,0.0,0.0,60,0.927,0.0428,0.0967,0.0032,8.9333,43857.5
E3_demanda_x150,0.0,0.0,90,0.4855,0.3062,0.146,0.001,716.0111,134755555.5556
E4_estres,168465.4326,17297.3356,60,0.993,0.0004,1.0,0.0,33.25,11284.1667
E4_estres_base,0.4324,2.0851,90,0.5015,0.3083,0.9524,0.051,4.4444,8066666.6667
