hora,tasa_pedidos_por_hora
0,0.13662790697674418
1,0.10174418604651163
2,0.11337209302325581
3,0.125
4,0.125
5,0.09593023255813954
6,0.10465116279069768
7,0.09883720930232558
8,0.14534883720930233
9,0.12790697674418605
10,0.1686046511627907
11,0.12209302325581395
12,0.15988372093023256
13,0.09302325581395349
14,0.125
15,0.11627906976744186
16,0.11627906976744186
17,0.10465116279069768
18,0.12790697674418605
19,0.09883720930232558
20,0.11046511627906977
21,0.13372093023255813
22,0.13953488372093023
23,0.11627906976744186
